"","game_id","play_id","event_game_index","rusher_name","blocker_name","beat_time","beat_dist","rusher_won","double_team"
"117",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2011,"Steven Means","Nate Solder",1.25909899999999,4.56325541691455,1,1
"118",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2013,"Dante Fowler Jr.","Ben Bredeson",NA,NA,0,0
"119",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2017,"Mykal Walker","Andrew Thomas",NA,NA,0,0
"120",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2019,"Steven Means","Will Hernandez",NA,NA,0,1
"121",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2021,"Steven Means","Billy Price",NA,NA,0,1
"122",1069714,"d2a97b75-1bde-4523-a794-65b151204476",2034,"Grady Jarrett","Nate Solder",NA,NA,0,1
"123",1069714,"f8e07ae7-4694-4cd1-89f8-e84a7326e3c5",2074,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,0
"124",1069714,"f8e07ae7-4694-4cd1-89f8-e84a7326e3c5",2081,"Azeez Ojulari","Kaleb McGary",NA,NA,0,0
"125",1069714,"f8e07ae7-4694-4cd1-89f8-e84a7326e3c5",2082,"Austin Johnson","Jalen Mayfield",NA,NA,0,1
"126",1069714,"f8e07ae7-4694-4cd1-89f8-e84a7326e3c5",2083,"Leonard Williams","Jake Matthews",NA,NA,0,0
"127",1069714,"f8e07ae7-4694-4cd1-89f8-e84a7326e3c5",2084,"Austin Johnson","Matt Hennessy",NA,NA,0,1
"128",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2202,"Dexter Lawrence","Matt Hennessy",NA,NA,0,0
"129",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2205,"Austin Johnson","Jalen Mayfield",NA,NA,0,1
"130",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2206,"Leonard Williams","Chris Lindstrom",NA,NA,0,1
"131",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2207,"Leonard Williams","Kaleb McGary",NA,NA,0,1
"132",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2209,"Austin Johnson","Jake Matthews",NA,NA,0,1
"133",1069714,"14008040-e3fe-4763-8fef-7e926bc3fe91",2222,NA,"Kaleb McGary",NA,NA,0,0
"134",1069714,"bb6d992e-8c19-4e12-9517-81cc9e21c2de",2251,"Leonard Williams","Matt Hennessy",NA,NA,0,1
"135",1069714,"bb6d992e-8c19-4e12-9517-81cc9e21c2de",2258,"Carter Coughlin","Chris Lindstrom",NA,NA,0,0
"136",1069714,"bb6d992e-8c19-4e12-9517-81cc9e21c2de",2260,"Quincy Roche","Jake Matthews",NA,NA,0,0
"137",1069714,"bb6d992e-8c19-4e12-9517-81cc9e21c2de",2261,"Lorenzo Carter","Kaleb McGary",NA,NA,0,0
"138",1069714,"bb6d992e-8c19-4e12-9517-81cc9e21c2de",2263,"Leonard Williams","Jalen Mayfield",1.890828,2.7902867236182,1,1
"139",1069714,"b58a512d-1d63-459a-b8f4-d75658a45a67",2363,"Austin Johnson","Chris Lindstrom",NA,NA,0,0
"140",1069714,"b58a512d-1d63-459a-b8f4-d75658a45a67",2368,"Danny Shelton","Matt Hennessy",NA,NA,0,0
"141",1069714,"b58a512d-1d63-459a-b8f4-d75658a45a67",2369,"Azeez Ojulari","Jake Matthews",NA,NA,0,0
"142",1069714,"b58a512d-1d63-459a-b8f4-d75658a45a67",2373,"Raymond Johnson III","Kaleb McGary",NA,NA,0,0
"143",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2405,"Austin Johnson","Matt Hennessy",NA,NA,0,1
"144",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2406,"Austin Johnson","Chris Lindstrom",NA,NA,0,1
"145",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2411,"Danny Shelton","Jalen Mayfield",NA,NA,0,0
"146",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2412,"Raymond Johnson III","Kaleb McGary",NA,NA,0,1
"147",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2417,"Azeez Ojulari","Jake Matthews",NA,NA,0,0
"148",1069714,"5cb74fa0-6d99-44bf-9fbe-3ed7c2cc99b3",2420,"Raymond Johnson III","Chris Lindstrom",NA,NA,0,1
"149",1069714,"3a0a2723-cffd-4b84-b64e-beeee8b1b910",2446,"Azeez Ojulari","Kaleb McGary",NA,NA,0,1
"150",1069714,"3a0a2723-cffd-4b84-b64e-beeee8b1b910",2453,"Azeez Ojulari","Chris Lindstrom",NA,NA,0,1
"151",1069714,"3a0a2723-cffd-4b84-b64e-beeee8b1b910",2456,"Lorenzo Carter","Jake Matthews",NA,NA,0,0
"152",1069714,"0316741d-2cff-4fbb-a647-2f109dcd9b15",2501,"Tyeler Davison","Billy Price",NA,NA,0,1
"153",1069714,"0316741d-2cff-4fbb-a647-2f109dcd9b15",2502,"Marlon Davidson","Will Hernandez",NA,NA,0,1
"154",1069714,"0316741d-2cff-4fbb-a647-2f109dcd9b15",2505,"Marlon Davidson","Nate Solder",NA,NA,0,1
"155",1069714,"0316741d-2cff-4fbb-a647-2f109dcd9b15",2506,"Tyeler Davison","Ben Bredeson",NA,NA,0,1
"156",1069714,"0316741d-2cff-4fbb-a647-2f109dcd9b15",2508,"Adetokunbo Ogundeji","Andrew Thomas",NA,NA,0,0
"157",1069714,"8860fa9a-e316-42e6-894f-8efa91abc151",2593,"Grady Jarrett","Ben Bredeson",NA,NA,0,1
"158",1069714,"8860fa9a-e316-42e6-894f-8efa91abc151",2595,"Grady Jarrett","Andrew Thomas",NA,NA,0,1
"159",1069714,"8860fa9a-e316-42e6-894f-8efa91abc151",2599,"Steven Means","Nate Solder",NA,NA,0,0
"160",1069714,"8860fa9a-e316-42e6-894f-8efa91abc151",2604,"Marlon Davidson","Will Hernandez",NA,NA,0,0
"161",1069714,"8860fa9a-e316-42e6-894f-8efa91abc151",2609,"Dante Fowler Jr.","Andrew Thomas",NA,NA,0,0
"162",1069714,"a39f412e-c915-4ea1-b155-cb39a67ff77c",2639,"Marlon Davidson","Will Hernandez",NA,NA,0,1
"163",1069714,"a39f412e-c915-4ea1-b155-cb39a67ff77c",2646,"Marlon Davidson","Billy Price",NA,NA,0,1
"164",1069714,"a39f412e-c915-4ea1-b155-cb39a67ff77c",2648,"Steven Means","Nate Solder",NA,NA,0,0
"165",1069714,"a39f412e-c915-4ea1-b155-cb39a67ff77c",2654,"Grady Jarrett","Will Hernandez",NA,NA,0,0
"166",1069714,"a39f412e-c915-4ea1-b155-cb39a67ff77c",2658,"Dante Fowler Jr.","Andrew Thomas",NA,NA,0,0
"167",1069714,"0f43967b-1b08-4efb-98df-c2bf96807ad9",2745,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,0
"168",1069714,"0f43967b-1b08-4efb-98df-c2bf96807ad9",2747,"Lorenzo Carter","Kaleb McGary",NA,NA,0,0
"169",1069714,"0f43967b-1b08-4efb-98df-c2bf96807ad9",2748,"Leonard Williams","Jake Matthews",NA,NA,0,1
"170",1069714,"0f43967b-1b08-4efb-98df-c2bf96807ad9",2768,"Leonard Williams","Jalen Mayfield",NA,NA,0,1
"171",1069714,"2b1ca3d1-4864-4ea0-bcfd-022f4bf20916",2787,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,1
"172",1069714,"2b1ca3d1-4864-4ea0-bcfd-022f4bf20916",2789,"Austin Johnson","Jalen Mayfield",NA,NA,0,1
"173",1069714,"2b1ca3d1-4864-4ea0-bcfd-022f4bf20916",2790,"Austin Johnson","Matt Hennessy",NA,NA,0,1
"174",1069714,"2b1ca3d1-4864-4ea0-bcfd-022f4bf20916",2793,"Leonard Williams","Jake Matthews",2.45601599999998,6.65390862576275,1,0
"175",1069714,"2b1ca3d1-4864-4ea0-bcfd-022f4bf20916",2798,"Dexter Lawrence","Kaleb McGary",NA,NA,0,1
"176",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2828,"Austin Johnson","Matt Hennessy",NA,NA,0,1
"177",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2829,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,1
"178",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2831,"Leonard Williams","Jake Matthews",1.18770300000006,4.14673365433566,1,1
"179",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2836,"Leonard Williams","Jalen Mayfield",NA,NA,0,1
"180",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2838,"Dexter Lawrence","Kaleb McGary",2.95923500000004,6.03477422941406,1,1
"181",1069714,"8571ba04-0751-4482-8b93-f717acfaa585",2845,"Austin Johnson","Chris Lindstrom",2.95923500000004,5.39715665883436,1,1
"182",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2880,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,1
"183",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2885,"Leonard Williams","Kaleb McGary",NA,NA,0,1
"184",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2887,"Leonard Williams","Jake Matthews",NA,NA,0,1
"185",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2888,"Azeez Ojulari","Jason Spriggs",NA,NA,0,0
"186",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2892,"Dexter Lawrence","Kaleb McGary",NA,NA,0,1
"187",1069714,"6ddf962f-1890-4eb4-a5ad-97faa9da8838",2894,"Reggie Ragland","Jalen Mayfield",NA,NA,0,0
"188",1069714,"0e256521-459b-4a1c-b77a-3eb9ca60f0da",2925,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,0
"189",1069714,"0e256521-459b-4a1c-b77a-3eb9ca60f0da",2929,"Leonard Williams","Jalen Mayfield",NA,NA,0,1
"190",1069714,"0e256521-459b-4a1c-b77a-3eb9ca60f0da",2931,"Leonard Williams","Matt Hennessy",NA,NA,0,1
"191",1069714,"0e256521-459b-4a1c-b77a-3eb9ca60f0da",2936,"Lorenzo Carter","Kaleb McGary",NA,NA,0,0
"192",1069714,"0e256521-459b-4a1c-b77a-3eb9ca60f0da",2937,"Azeez Ojulari","Jake Matthews",NA,NA,0,0
"193",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2977,"Grady Jarrett","Will Hernandez",NA,NA,0,1
"194",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2980,"Steven Means","Nate Solder",NA,NA,0,1
"195",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2982,"Dante Fowler Jr.","Andrew Thomas",NA,NA,0,1
"196",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2987,"Dante Fowler Jr.","Ben Bredeson",NA,NA,0,1
"197",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2989,"Steven Means","Will Hernandez",NA,NA,0,1
"198",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2992,"Marlon Davidson","Andrew Thomas",NA,NA,0,0
"199",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",2998,"Grady Jarrett","Nate Solder",NA,NA,0,1
"200",1069714,"333b0b1c-9b10-47eb-afbc-1e9980a99db9",3004,"Steven Means","Billy Price",NA,NA,0,1
"201",1069714,"f5a457f8-d224-4e3b-98be-3b97a01c4576",3033,"Marlon Davidson","Ben Bredeson",NA,NA,0,1
"202",1069714,"f5a457f8-d224-4e3b-98be-3b97a01c4576",3034,"Grady Jarrett","Will Hernandez",NA,NA,0,0
"203",1069714,"f5a457f8-d224-4e3b-98be-3b97a01c4576",3035,"Marlon Davidson","Billy Price",NA,NA,0,1
