"play_uuid","game_id","hit_player","hit"
"4526ede9-c929-4e73-8c5c-ef420723e131",1502101,"Devin White",1
"37ca6233-9f46-4083-b3b0-503c92439307",1502101,"Kyle Van Noy",1
"b12a4cca-11e3-43f0-8bdf-e7b1b1ebbb9f",1502102,"Leonard Floyd",1
"7d401466-2b86-4838-9d84-15a2a73486f4",1502103,"Shaq Lawson",1
"7e09b919-caac-4b22-9198-ad7b7421ab73",1502105,"Matt Ioannidis",1
"3c7fba70-7bb3-4d12-b4cd-95207f9026e0",1502105,"Cole Holcomb",1
"7349e72f-d9a1-4eb0-9bda-ddeeba9ac04d",1502106,"Josh Sweat",1
"f99cca22-1fee-4f2f-915e-429530cdd19e",1502106,"Brian Burns",1
"90870219-3b66-4997-a658-6e0f81c0b5a3",1502106,"Frankie Luvu",1
"00a4e9e9-547d-4fbf-a57d-c8ea483684b0",1502106,"Javon Hargrave",1
"2b9c49af-a902-4605-a78d-1a29398caab8",1502106,"Derrick Brown",1
"e97f4e13-bf5d-4cc1-a6bb-2b013a4a26ec",1502106,"Haason Reddick",1
"dbce8091-9038-4d41-9163-25534a03a5a1",1502107,"Jeffery Simmons",1
"70add456-3b1b-4f78-a3e5-e800c3798141",1502107,"Josh Allen",1
"da561a9f-73ea-43c1-8bcb-021d27c08c6c",1502108,"Logan Ryan",1
"5dfe11f5-8ed1-4981-b808-1adaeaf64373",1502108,"Tarell Basham",1
"958d6fec-904c-4428-a484-649242c1f960",1502109,"Star Lotulelei",1
"fdca0213-4683-4713-95ed-8a2e1a24e7db",1502109,"Efe Obada",1
"ac9d9206-0858-4cee-bec0-565e39c8cb2b",1502110,"J.J. Watt",1
"9dd99310-43f9-4932-9014-77837aee7950",1502110,"Markus Golden",1
"33075b1c-b5cb-4f11-9c3e-6179237fd80d",1502111,"Harrison Phillips",1
"09acba8d-2ced-49f8-aa04-3f38675f17ac",1502112,"Grant Delpit",1
"e1eb49b0-4af2-4b51-b59a-2f5b9db779c9",1502112,"Jonathon Cooper",1
"0e57926a-f2ca-4c0c-a95f-3e3cf219a157",1502113,"Kyzir White",1
"5cc626a8-19ee-4e18-89d3-ae1c32eb3a5a",1502113,"Jerry Tillery",1
"7c7ad234-eb8e-46e6-82a9-58c98c100fb1",1502114,"Denico Autry",1
"6fa16c15-0ce8-479b-92a4-1404c3ff08b7",1502114,"Ola Adeniyi",1
"24b95bda-b675-45f6-806f-20e496b50318",1502115,"Rashan Gary",1
"a6d83a38-aa47-4179-99d8-adf1a7ef1ce2",1502116,"Grady Jarrett",1
