player_name,final_elo,role
Jordan Mailata,1146.644063357042,Blocker
Iosua Opeta,1111.4117578025546,Blocker
Montez Sweat,751.793275507199,Rusher
Lane Johnson,1161.6307489582287,Blocker
Josh Sweat,751.3916743067573,Rusher
David Steinmetz,1126.2647643073667,Blocker
Alex Singleton,750.0248731512735,Rusher
Akeem Spence,747.5145226800054,Rusher
Wes Martin,1156.4783560151434,Blocker
Cameron Malveaux,726.9510814270626,Rusher
Korey Cunningham,1102.9510321398552,Blocker
Elerson Smith,741.7173827547849,Rusher
Landon Dickerson,1139.3581485770162,Blocker
T.J. Edwards,740.1132896732198,Rusher
Matt Peart,1103.268463958715,Blocker
Jaylon Smith,730.4302489535519,Rusher
Patrick Johnson,746.3416848890437,Rusher
Isaiah Williams,1127.874182577467,Blocker
Davon Hamilton,753.4652485493802,Rusher
Greg Van Roten,1148.6257794145918,Blocker
George Fant,1135.992074123167,Blocker
Freedom Akinmoladun,742.2668126458007,Rusher
Shaq Lawson,710.4136190251908,Rusher
Tim Ward,738.6714041443696,Rusher
Kc Mcdermott,1129.925874638924,Blocker
Quincy Williams,725.407292244663,Rusher
Halapoulivaati Vaitai,1176.5496594147453,Blocker
James Vaughters,749.3847170042653,Rusher
Rashod Berry,728.5013535648726,Rusher
Mike Pennel,751.8684065641131,Rusher
Will Holden,1085.9551771681763,Blocker
Derrick Barnes,741.1771317819446,Rusher
Jerry Tillery,706.1434231407678,Rusher
Linval Joseph,718.961248127203,Rusher
Cole Toner,1135.2641812838242,Blocker
Jimmy Morrissey,1147.4051441327988,Blocker
Uchenna Nwosu,736.6024844470403,Rusher
Kenneth Murray Jr.,719.9085327500687,Rusher
Michael Dwumfour,784.7945904367156,Rusher
Matt Feiler,1132.4908263821806,Blocker
Ross Blacklock,746.7478477341367,Rusher
Michael Schofield III,1160.1697934991205,Blocker
Garret Wallow,746.9413128852557,Rusher
Scott Quessenberry,1146.4462179363263,Blocker
Storm Norton,1121.8623357479753,Blocker
Neville Hewitt,743.9938484312538,Rusher
Rashawn Slater,1156.602133357686,Blocker
Xavier Williams,746.9195665560867,Rusher
Chris Smith,765.3152813760757,Rusher
Demone Harris,751.2426737977557,Rusher
Christian Covington,743.640744833957,Rusher
Breiden Fehoko,722.7450992234661,Rusher
Ron'Dell Carter,744.3448056738986,Rusher
Emeke Egbule,738.6128684383098,Rusher
Drue Tranquill,747.1952265351674,Rusher
Christian Kirksey,725.7459234291191,Rusher
Kyzir White,740.260337282372,Rusher
Forrest Merrill,742.744540807385,Rusher
Nick Niemann,752.8134543607218,Rusher
Andrew Brown,748.9949456145524,Rusher
Myles Adams,748.2277828910693,Rusher
Robert Nkemdiche,689.4054695250636,Rusher
Sam Kamara,736.2265210818684,Rusher
John Simon,747.7497463814042,Rusher
Joe Haeg,1141.199971396552,Blocker
J.C. Hassenauer,1162.6068376838948,Blocker
Carlos Davis,733.5850946673809,Rusher
Robert Spillane,747.5694526154732,Rusher
Ulysees Gilbert III,741.8222914059083,Rusher
Will Bradley-King,751.5061960030876,Rusher
Jon Toth,1123.726102990298,Blocker
David Mayo,748.8251556133434,Rusher
Dayo Odeyingbo,707.6359567184998,Rusher
Kwity Paye,733.991320419103,Rusher
Deforest Buckner,777.785597673238,Rusher
Kemoko Turay,762.9967782166492,Rusher
Quenton Nelson,1163.470985821407,Blocker
Braden Smith,1156.6050559664875,Blocker
Matt Pryor,1131.8940661337413,Blocker
Ryan Kelly,1135.0093924918178,Blocker
Mark Glowinski,1111.7177333459038,Blocker
Al-Quadin Muhammad,751.7891807963172,Rusher
Grover Stewart,702.924853616061,Rusher
Chris Williams,747.9752677912176,Rusher
Isaac Rochell,728.4573682324857,Rusher
Taylor Stallworth,784.0935113558597,Rusher
Darius Leonard,728.1193337727209,Rusher
Lane Taylor,1145.6574393721169,Blocker
Justin Mccray,1099.1527066840993,Blocker
Aaron Patrick,754.9569653444394,Rusher
Trey Pipkins III,1124.369777908993,Blocker
Jonas Griffith,738.3486597515429,Rusher
Justin Jones,715.3416720433729,Rusher
Joey Bosa,784.7328225929747,Rusher
Cameron Fleming,1116.4600989005166,Blocker
Netane Muti,1097.6005051640893,Blocker
Joe Gaziano,727.9677900432379,Rusher
Otito Ogbonnia,751.1571556771032,Rusher
Jonathan Harris,731.8444810594299,Rusher
Andre Mintze,722.04849153021,Rusher
Chris Rumph II,726.9663785709957,Rusher
Corey Linsley,1170.8691498304067,Blocker
Micah Kiser,748.953985900059,Rusher
Marquiss Spencer,748.8608502104186,Rusher
Will Clapp,1147.609121204058,Blocker
Cesar Ruiz,1164.302618230774,Blocker
Calvin Throckmorton,1177.3438853881885,Blocker
Jordan Mills,1184.4185469914585,Blocker
