player_name,role,bt_logit_score,coefficient_source
A.J. Johnson,Rusher,2.2369071121446953e-7,lambda.min
Phil Hoskins,Rusher,2.2347726446560487e-7,lambda.min
Alex Singleton,Rusher,1.1191897844202595e-7,lambda.min
Josh Wells,Blocker,1.0995464617800185e-7,lambda.min
Billy Turner,Blocker,1.0526425609725513e-7,lambda.min
Terence Steele,Blocker,8.157385505940028e-8,lambda.min
Benning Potoa'E,Rusher,0,lambda.min
Blake Cashman,Rusher,0,lambda.min
Braxton Hoyett,Rusher,0,lambda.min
Chapelle Russell,Rusher,0,lambda.min
Charles Snowden,Rusher,0,lambda.min
Clay Johnston,Rusher,0,lambda.min
Cortez Broughton,Rusher,0,lambda.min
Dakota Allen,Rusher,0,lambda.min
Danny Trevathan,Rusher,0,lambda.min
David Moa,Rusher,0,lambda.min
Doug Costin,Rusher,0,lambda.min
Harvey Langi,Rusher,0,lambda.min
Jashon Cornell,Rusher,0,lambda.min
Kendal Vickers,Rusher,0,lambda.min
Khalil Davis,Rusher,0,lambda.min
Nick Thurman,Rusher,0,lambda.min
Shaquille Quarterman,Rusher,0,lambda.min
Austin Schlottmann,Blocker,0,lambda.min
Caleb Benenoch,Blocker,0,lambda.min
Kyle Murphy,Blocker,0,lambda.min
Nick Martin,Blocker,0,lambda.min
Tre'Vour Wallace-Simms,Blocker,0,lambda.min
Will Fries,Blocker,0,lambda.min
Daniel Wise,Rusher,-3.0758118262366627e-12,lambda.min
Chase Winovich,Rusher,-1.8503581808510435e-9,lambda.min
Duane Brown,Blocker,-8.140956598513973e-9,lambda.min
Genard Avery,Rusher,-1.0763025191728036e-7,lambda.min
Jordan Simmons,Blocker,-1.0972290201204413e-7,lambda.min
Sam Kamara,Rusher,-1.1151055554591113e-7,lambda.min
