player_name,role,weighted_severity_logit_score,elo_like_score,coefficient_source
Jack Anderson,Blocker,-6.319573947123736e-6,999.9989021950844,lambda.min
Payton Turner,Rusher,-6.346601952995767e-6,999.9988974998389,lambda.min
Kyle Fuller,Blocker,-6.4933486206861966e-6,999.9988720073317,lambda.min
Trey Pipkins III,Blocker,-6.5732490571972075e-6,999.9988581272042,lambda.min
Chris Reed,Blocker,-6.578995731205683e-6,999.9988571289047,lambda.min
Antwaun Woods,Rusher,-6.76781137670564e-6,999.9988243282675,lambda.min
Alec Ogletree,Rusher,-6.807138750699094e-6,999.9988174964029,lambda.min
Chris Hubbard,Blocker,-6.925906291072951e-6,999.9987968643679,lambda.min
Joseph Jones,Rusher,-6.940723847705413e-6,999.9987942902947,lambda.min
Raymond Johnson III,Rusher,-7.049855686346921e-6,999.9987753321526,lambda.min
Troy Dye,Rusher,-7.070831859117311e-6,999.9987716882181,lambda.min
Demetrius Flannigan-Fowles,Rusher,-7.125499960973409e-6,999.9987621913962,lambda.min
Jeffery Simmons,Rusher,-7.1582293876327644e-6,999.9987565057123,lambda.min
Austin Jackson,Blocker,-7.186600074093929e-6,999.9987515772193,lambda.min
Geron Christian Sr.,Blocker,-7.265061653038814e-6,999.9987379470471,lambda.min
Ben Bartch,Blocker,-7.270826787140239e-6,999.9987369455407,lambda.min
Bobby Evans,Blocker,-7.278737266649755e-6,999.9987355713496,lambda.min
Justin Zimmer,Rusher,-7.334762537715871e-6,999.9987258387632,lambda.min
William Gholston,Rusher,-7.396598927732976e-6,999.998715096682,lambda.min
Rashod Berry,Rusher,-7.446209639710123e-6,999.9987064784186,lambda.min
Davion Taylor,Rusher,-7.498727009853573e-6,999.998697355217,lambda.min
Bunmi Rotimi,Rusher,-7.5117310571298585e-6,999.9986950961826,lambda.min
Dante Fowler Jr.,Rusher,-7.526673922831936e-6,999.998692500341,lambda.min
Jordan Willis,Rusher,-7.586042002804257e-6,999.9986821870491,lambda.min
Brandin Bryant,Rusher,-7.706831313992647e-6,999.9986612037966,lambda.min
Renell Wren,Rusher,-7.820314751247331e-6,999.9986414897044,lambda.min
Demone Harris,Rusher,-7.821611097378092e-6,999.998641264506,lambda.min
Alex Bars,Blocker,-7.826391669399837e-6,999.9986404340356,lambda.min
Roy Lopez,Rusher,-7.856334359868669e-6,999.9986352324574,lambda.min
Kevin Strong,Rusher,-7.85734950466813e-6,999.9986350561088,lambda.min
Colby Gossett,Blocker,-7.914699417973966e-6,999.9986250934085,lambda.min
Charles Harris,Rusher,-7.972396865742659e-6,999.9986150703352,lambda.min
Devon Kennard,Rusher,-8.043309097272977e-6,999.9986027516188,lambda.min
Matt Ioannidis,Rusher,-8.046582626408809e-6,999.9986021829485,lambda.min
Kyle Phillips,Rusher,-8.177033093375769e-6,999.9985795213813,lambda.min
Cedric Ogbuehi,Blocker,-8.222065912295335e-6,999.9985716983795,lambda.min
Shaq Lawson,Rusher,-8.357728926926251e-6,999.9985481313,lambda.min
Jarrad Davis,Rusher,-8.403367871672835e-6,999.9985402030032,lambda.min
Anthony Barr,Rusher,-8.403753261802387e-6,999.9985401360541,lambda.min
Neville Hewitt,Rusher,-8.412746143754814e-6,999.9985385738305,lambda.min
Robert Spillane,Rusher,-8.484577815491492e-6,999.9985260953911,lambda.min
Christian Barmore,Rusher,-8.509785179745169e-6,999.9985217164234,lambda.min
D'Ante Smith,Blocker,-8.551661023880676e-6,999.9985144418441,lambda.min
Isaac Rochell,Rusher,-8.59673134507038e-6,999.9985066123274,lambda.min
Derek Rivers,Rusher,-8.620297925720141e-6,999.998502518393,lambda.min
Tanoh Kpassagnon,Rusher,-8.653763211307616e-6,999.9984967048775,lambda.min
Terron Armstead,Blocker,-8.679146793932542e-6,999.9984922952976,lambda.min
Sean Harlow,Blocker,-8.706235752360007e-6,999.9984875894635,lambda.min
T.J. Slaton,Rusher,-8.742827507790622e-6,999.9984812328245,lambda.min
Jamie Collins Sr.,Rusher,-8.798738900829572e-6,999.9984715200208,lambda.min
Justin Strnad,Rusher,-8.822662984635766e-6,999.9984673639817,lambda.min
James Lynch,Rusher,-8.984114956815716e-6,999.9984393169015,lambda.min
Robert Jones,Blocker,-9.079893330808563e-6,999.9984226784937,lambda.min
Germaine Pratt,Rusher,-9.097049721555411e-6,999.9984196981234,lambda.min
Broderick Washington,Rusher,-9.129150286603012e-6,999.998414121684,lambda.min
Jarran Reed,Rusher,-9.139774425115457e-6,999.9984122760823,lambda.min
Blake Brandel,Blocker,-9.13991153098241e-6,999.9984122522645,lambda.min
Riley Reiff,Blocker,-9.244274866464877e-6,999.9983941224962,lambda.min
Jordan Simmons,Blocker,-9.305871123668446e-6,999.9983834221304,lambda.min
Brandon Copeland,Rusher,-9.337052338512836e-6,999.9983780053985,lambda.min
K.J. Wright,Rusher,-9.40726560298835e-6,999.9983658081052,lambda.min
Kendall Lamm,Blocker,-9.536497905288832e-6,999.9983433581549,lambda.min
Ben Bredeson,Blocker,-9.539575251189395e-6,999.9983428235652,lambda.min
Kaden Elliss,Rusher,-9.6269955740769e-6,999.9983276370996,lambda.min
Caleb Benenoch,Blocker,-9.699059540845188e-6,999.9983151183063,lambda.min
Markus Bailey,Rusher,-9.722908135658469e-6,999.9983109753812,lambda.min
Tipa Galeai,Rusher,-9.913218771782094e-6,999.9982779150375,lambda.min
Joe Noteboom,Blocker,-9.97916793618642e-6,999.9982664584942,lambda.min
Mykal Walker,Rusher,-1.006834860574682e-5,999.9982509662251,lambda.min
Michael Hoecht,Rusher,-1.0231040104448487e-5,999.9982227038171,lambda.min
Jonas Griffith,Rusher,-1.0569145887471498e-5,999.9981639688267,lambda.min
Andrew Billings,Rusher,-1.0677258483432554e-5,999.9981451877452,lambda.min
Walker Little,Blocker,-1.078990163996484e-5,999.9981256196247,lambda.min
Jeremiah Attaochu,Rusher,-1.0819934971927187e-5,999.9981204023005,lambda.min
Robert Nkemdiche,Rusher,-1.0873040987172768e-5,999.9981111768408,lambda.min
Nick Vigil,Rusher,-1.0956346397729888e-5,999.9980967052087,lambda.min
James Ferentz,Blocker,-1.096906578706335e-5,999.9980944956245,lambda.min
Daniel Wise,Rusher,-1.0990483817988482e-5,999.9980907749315,lambda.min
Andre Mintze,Rusher,-1.0993103086562085e-5,999.9980903199179,lambda.min
Pat Elflein,Blocker,-1.1025969775853483e-5,999.9980846103891,lambda.min
Joe Haeg,Blocker,-1.1055729148915591e-5,999.9980794406565,lambda.min
Chauncey Golston,Rusher,-1.1324452733036687e-5,999.9980327585887,lambda.min
Ola Adeniyi,Rusher,-1.1401000746118738e-5,999.9980194608368,lambda.min
Jonathan Harris,Rusher,-1.140335369868699e-5,999.9980190520871,lambda.min
Laremy Tunsil,Blocker,-1.1435520567388998e-5,999.9980134641296,lambda.min
Kenny Young,Rusher,-1.148310131023201e-5,999.998005198508,lambda.min
Jake Zimmer,Rusher,-1.1502258582223082e-5,999.998001870549,lambda.min
Calais Campbell,Rusher,-1.1551558215151635e-5,999.9979933063256,lambda.min
Laurent Duvernay-Tardif,Blocker,-1.1577324143316683e-5,999.9979888303254,lambda.min
Michael Dunn,Blocker,-1.1578614363388281e-5,999.9979886061913,lambda.min
