player_name,role,weighted_severity_logit_score,coefficient_source
Iosua Opeta,Blocker,-0.1465606824297775,lambda.min
Corey Peters,Rusher,-0.14664387953272937,lambda.min
Leki Fotu,Rusher,-0.14862104601731507,lambda.min
Sheldon Richardson,Rusher,-0.1530068549803413,lambda.min
Le'Raven Clark,Blocker,-0.15515723283229782,lambda.min
Davon Godchaux,Rusher,-0.1553675570133076,lambda.min
Steven Means,Rusher,-0.15600693344181293,lambda.min
Shamar Stephen,Rusher,-0.15645882166087066,lambda.min
Osa Odighizuwa,Rusher,-0.15725340554174105,lambda.min
Teair Tart,Rusher,-0.1580606477291527,lambda.min
Mike Purcell,Rusher,-0.15963607052872075,lambda.min
Justin Ellis,Rusher,-0.16180917226083857,lambda.min
Ben Powers,Blocker,-0.16306942019473897,lambda.min
Josh Tupou,Rusher,-0.1663354604261731,lambda.min
Nick Williams,Rusher,-0.16670199852859843,lambda.min
Michael Brockers,Rusher,-0.16696559173024023,lambda.min
Raekwon Davis,Rusher,-0.16914320415851297,lambda.min
Trey Hopkins,Blocker,-0.17182888209282293,lambda.min
Adam Butler,Rusher,-0.17205182216979426,lambda.min
D.J. Humphries,Blocker,-0.1723112622086954,lambda.min
Jedrick Wills Jr.,Blocker,-0.18325398196638273,lambda.min
Trai Turner,Blocker,-0.18396674754493847,lambda.min
John Miller,Blocker,-0.18683693009173105,lambda.min
Brandon Williams,Rusher,-0.18701399662756607,lambda.min
Shy Tuttle,Rusher,-0.1873800707916001,lambda.min
Nathan Shepherd,Rusher,-0.18850672207233093,lambda.min
Jalen Mayfield,Blocker,-0.18915479553294764,lambda.min
Hakeem Adeniji,Blocker,-0.19874607972795197,lambda.min
Jordan Elliott,Rusher,-0.1991644957143025,lambda.min
Johnathan Hankins,Rusher,-0.20686764675350405,lambda.min
Grady Jarrett,Rusher,-0.21320967063018242,lambda.min
Folorunso Fatukasi,Rusher,-0.21715603526496144,lambda.min
Liam Eichenberg,Blocker,-0.22138931548167617,lambda.min
Saahdiq Charles,Blocker,-0.22307890511869755,lambda.min
Justin Mccray,Blocker,-0.2234606541262959,lambda.min
Conor Mcdermott,Blocker,-0.224450996507371,lambda.min
Netane Muti,Blocker,-0.2358926787618108,lambda.min
Charlie Heck,Blocker,-0.24855456809942572,lambda.min
Dennis Daley,Blocker,-0.2500701119646678,lambda.min
Jason Peters,Blocker,-0.31628519902040286,lambda.min
Brady Christensen,Blocker,-0.35776216612764555,lambda.min
Aaron Brewer,Blocker,-0.37299940013024163,lambda.min
