class,term,coef
loss,rusher::Jaleel Johnson,0.0011099807171294543
loss,rusher::Jalen Reeves-Maybin,-0.029934354030308044
loss,rusher::Jalyn Holmes,0.1742892000849167
loss,rusher::James Lynch,-0.053972899013080416
loss,rusher::James Smith-Williams,0.16278812511551416
loss,rusher::James Vaughters,0.11349804859552946
loss,rusher::Jamie Collins Sr.,0.016370346047572794
loss,rusher::Jamien Sherwood,0.05434924507284625
loss,rusher::Jamin Davis,-0.007853430315174019
loss,rusher::Jamir Jones,-0.004704145299833149
loss,rusher::Jarrad Davis,0.19362811355666493
loss,rusher::Jarran Reed,-0.08408893184872727
loss,rusher::Jashon Cornell,0.027932338471716833
loss,rusher::Jason Pierre-Paul,0.31625527090009703
loss,rusher::Javon Hargrave,-0.27805930039838744
loss,rusher::Javon Kinlaw,-0.07993566234085489
loss,rusher::Jay Tufele,-0.2699577666901022
loss,rusher::Jaylon Ferguson,0.3546129509219459
loss,rusher::Jaylon Smith,0.22452630367530366
loss,rusher::Jayon Brown,0.14915479019603162
loss,rusher::Jeffery Simmons,-0.1107387141141421
loss,rusher::Jeremiah Attaochu,0.13075551880376377
loss,rusher::Jeremiah Owusu-Koramoah,-0.37360961396489195
loss,rusher::Jermaine Carter Jr.,-0.26494063527568285
loss,rusher::Jermaine Johnson II,-0.051884881148301094
loss,rusher::Jerome Baker,0.08063743609392766
loss,rusher::Jerry Hughes,-0.061796604745843794
loss,rusher::Jerry Tillery,0.07269119498739475
loss,rusher::Jessie Lemonier,0.031776369283203945
loss,rusher::Jihad Ward,-0.0635443673961489
loss,rusher::Joe Bachie,-0.05733849676425871
loss,rusher::Joe Gaziano,0.08445782786850889
loss,rusher::Joe Jackson,0.07030083175492836
loss,rusher::Joe Schobert,0.05458732764529399
loss,rusher::Joe Thomas,-0.13177609934807952
loss,rusher::Joe Tryon-Shoyinka,-0.06269413895374448
loss,rusher::Joe Walker,0.09541777887430591
loss,rusher::Joey Bosa,-0.3479782172626388
loss,rusher::John Cominsky,-0.1554685982327088
loss,rusher::John Franklin-Myers,-0.0936987834108224
loss,rusher::John Jenkins,0.059403383340805346
loss,rusher::John Penisini,0.017035899810290796
loss,rusher::John Simon,0.08394881992333768
loss,rusher::Johnathan Hankins,0.026104205921833684
loss,rusher::Jonas Griffith,0.1119177999356686
loss,rusher::Jonathan Allen,-0.23300782664901365
loss,rusher::Jonathan Bostic,-0.186623265663109
loss,rusher::Jonathan Bullard,0.07795000502190871
loss,rusher::Jonathan Garvin,0.1933628062809801
loss,rusher::Jonathan Greenard,-0.18185808931337547
loss,rusher::Jonathan Harris,0.0851522100362527
loss,rusher::Jonathan Ledbetter,0.03295982851730716
loss,rusher::Jonathan Marshall,-0.15218492372820835
loss,rusher::Jonathon Cooper,0.10115078986538895
loss,rusher::Jordan Elliott,0.17758844790910755
loss,rusher::Jordan Evans,-0.014248540395039918
loss,rusher::Jordan Hicks,-0.006663753815451113
loss,rusher::Jordan Jenkins,-0.20427284559114378
loss,rusher::Jordan Phillips,0.016191524172954542
loss,rusher::Jordan Smith,0.13062355832887332
loss,rusher::Jordan Willis,0.06294043905663255
loss,rusher::Jordyn Brooks,-0.15357261494438268
loss,rusher::Joseph Jones,0.17153376571160206
loss,rusher::Josey Jewell,-0.021653907489002474
loss,rusher::Josh Allen,-0.38945184819705836
loss,rusher::Josh Bynes,-0.14212586287365422
loss,rusher::Josh Mauro,-9.828651702385896e-4
loss,rusher::Josh Sweat,-0.2843344069567548
loss,rusher::Josh Tupou,0.19303037791946825
loss,rusher::Josh Uche,-0.008475033433554711
loss,rusher::Josh Woods,-0.1766395507864107
